Herbicide,Cost/Ltr,Ltr/HA,Active Ingredient,Registration
2.4-D amine,53.60,1.50,2.4D (as dimethylamine salt) 480g/L SL,Registered
Acanthoscelides macrophthalmus,0.00,0.00,Acanthoscelides macrophthalmus,Biological control
Access,162.45,0.35,Picloram (as potassium salt) 240g/L SL,Minor use
Aceria lantanae,0.00,0.00,Aceria lantanae,Biological control
Alcidion cereicola,0.00,0.00,Alcidion cereicola,Biological control
Algarobius prosopis,0.00,0.00,Algarobius prosopis,Biological control
Anthonomus santacruzii,0.00,0.00,Anthonomus santacruzii,Biological control
Aphanasium australe,0.00,0.00,Aphanasium australe,Biological control
Archlagocheirus funestrus,0.00,0.00,Archlagocheirus funestrus,Biological control
Astra,146.00,0.50,Clopyralid 90 + Triclopyr (as amine salt) 270 g/L SL,Minor use
Browser,0.00,0.35,Picloram (as potassium salt) 240g/L SL,Minor use
Bruchidius endotubercularis,0.00,0.00,Bruchidius endotubercularis,Biological control
Brushoff,0.00,3.50,Metsulfuron methyl 600g/kg WP,Minor use
Bundu,0.00,1.50,Tebuthiuron 250g/L + Bromacil 250g/L SC,Registered
Cactoblastis cactorum,0.00,0.00,Cactoblastis cactorum,Biological control
Calycomyza eupatorivora,0.00,0.00,Calycomyza eupatorivora,Biological control
Carposina autologa,0.00,0.00,Carposina autologa,Biological control
Carvalhotingis hollandi,0.00,0.00,Carvalhotingis hollandi,Biological control
Carvalhotingis visenda,0.00,0.00,Carvalhotingis visenda,Biological control
Cercospora rodmannii,0.00,0.00,Cercospora rodmannii,Biological control
Charidotis auroguttata,0.00,0.00,Charidotis auroguttata,Biological control
Chopper,0.00,10.00,Imazapyr 100 g/L SL,Registered
Chrysolina quadrigemina,0.00,0.00,Chrysolina quadrigemina,Biological control
Ciplasate,0.00,15.00,Glyphosate (as isopropylamine salt) 360 g/L SL,Registered
Cissoanthonomus tuberculipenni,0.00,0.00,Cissoanthonomus tuberculipennis,Biological control
Climax,0.00,2.00,Metsulfuron methyl 600g/kg WP,Registered
Coelocephalapion camarae,0.00,0.00,Coelocephalapion camarae,Biological control
Coelocephalapion gandolfoi,0.00,0.00,Coelocephalapion gandolfoi,Biological control
Confront,228.81,0.50,Clopyralid 90 + Triclopyr (as amine salt) 270 g/L SL,Minor use
Confront super,180.12,0.75,Triclopyr (as triethyl ammonium) 120 g/L + Aminopyralid 12 g/L,Registered
Cornops aquaticum,0.00,0.00,Cornops aquaticum,Biological control
Cydmaea binotata,0.00,0.00,Cydmaea binotata,Biological control
Cyrtobagous salviniae,0.00,0.00,Cyrtobagous salviniae,Biological control
Dactylopius austrinus,0.00,0.00,Dactylopius austrinus,Biological control
Dactylopius ceylonicus,0.00,0.00,Dactylopius ceylonicus,Biological control
Dactylopius opuntiae,0.00,0.00,Dactylopius opuntiae,Biological control
Dactylopius tomentosus Cholla,0.00,0.00,Dactylopius tomentosus Cholla biotype,Biological control
Dactylopius tomentosus Imbrica,0.00,0.00,Dactylopius tomentosus Imbricate type,Biological control
Dasineura dielsii,0.00,0.00,Dasineura dielsii,Biological control
Dasineura rubiformis,0.00,0.00,Dasineura rubiformis,Biological control
Dasineura sp.,0.00,0.00,Dasineura sp.,Biological control
Dichrorampha odorata,0.00,0.00,Dichrorampha odorata,Biological control
Dicomada rufa,0.00,0.00,Dicomada rufa,Biological control
Eccritotarsus catarinensis,0.00,0.00,Eccritotarsus catarinensis,Biological control
Entyloma ageritinae,0.00,0.00,Entyloma ageritinae,Biological control
Enviroglyphosate,0.00,15.00,Glyphosate (as isopropylamine salt) 360 g/L SL,Registered
Erytenna consputa,0.00,0.00,Erytenna consputa,Biological control
Extreme,0.00,0.18,Chlorimuron ethyl (as sulfonyl urea) 500g/kg WP,Registered
